date,quantity
2021-02-01,3311661.0
2021-03-01,3759871.0
2021-04-01,3629699.0
2021-05-01,3282088.0
2021-06-01,3668545.0
2021-07-01,3583995.0
2021-08-01,3445169.0
2021-09-01,3552182.0
2021-10-01,3522840.0
2021-11-01,3541449.0
2021-12-01,3732331.0
2022-01-01,3455118.0
2022-02-01,3334905.0
2022-03-01,3742375.0
2022-04-01,3439986.0
2022-05-01,3600417.0
2022-06-01,3521776.0
2022-07-01,3463090.0
2022-08-01,3544395.0
2022-09-01,3530592.0
2022-10-01,3456522.0
2022-11-01,3666453.0
2022-12-01,3605264.0
2023-01-01,3643689.0
2023-02-01,3332013.0
2023-03-01,3813079.0
2023-04-01,3376471.0
2023-05-01,3574441.0
2023-06-01,3663411.0
2023-07-01,3582043.0
2023-08-01,3568130.0
2023-09-01,3426321.0
2023-10-01,3612941.0
2023-11-01,3626515.0
2023-12-01,3589953.0
2024-01-01,3689202.0
2024-02-01,3445139.0
2024-03-01,3548828.0
2024-04-01,3662091.0
2024-05-01,3759399.0
2024-06-01,3456920.0
2024-07-01,3805006.0
2024-08-01,3593592.0
2024-09-01,3560416.0
2024-10-01,3778113.0
2024-11-01,3583572.0
2024-12-01,3741474.0
2025-01-01,3795927.0
2025-02-01,3431636.0
2025-03-01,3559321.0
2025-04-01,3612900.0
2025-05-01,3748419.0
2025-06-01,3609346.0
2025-07-01,3816062.0
2025-08-01,3462046.0
2025-09-01,3757252.0
2025-10-01,3832295.0
2025-11-01,3445505.0
2025-12-01,3918005.0
2026-01-01,3781038.0
