date,quantity
2021-02-01,1634699.0
2021-03-01,1845640.0
2021-04-01,1768436.0
2021-05-01,1657440.0
2021-06-01,1838868.0
2021-07-01,1754422.0
2021-08-01,1751737.0
2021-09-01,1792998.0
2021-10-01,1685021.0
2021-11-01,1788200.0
2021-12-01,1881007.0
2022-01-01,1740759.0
2022-02-01,1735089.0
2022-03-01,1870265.0
2022-04-01,1776362.0
2022-05-01,1817429.0
2022-06-01,1790258.0
2022-07-01,1789637.0
2022-08-01,1835761.0
2022-09-01,1850635.0
2022-10-01,1788647.0
2022-11-01,1908479.0
2022-12-01,1936945.0
2023-01-01,1842738.0
2023-02-01,1765603.0
2023-03-01,1983113.0
2023-04-01,1802988.0
2023-05-01,1922307.0
2023-06-01,1876809.0
2023-07-01,1855732.0
2023-08-01,1872953.0
2023-09-01,1942550.0
2023-10-01,2004307.0
2023-11-01,1982567.0
2023-12-01,2032234.0
2024-01-01,2046401.0
2024-02-01,1841622.0
2024-03-01,2000016.0
2024-04-01,1989055.0
2024-05-01,2003513.0
2024-06-01,1841704.0
2024-07-01,2016887.0
2024-08-01,1936471.0
2024-09-01,1891836.0
2024-10-01,2004980.0
2024-11-01,1904584.0
2024-12-01,1998017.0
2025-01-01,2023542.0
2025-02-01,1770732.0
2025-03-01,1865881.0
2025-04-01,1972308.0
2025-05-01,1982343.0
2025-06-01,1914455.0
2025-07-01,2049938.0
2025-08-01,1881934.0
2025-09-01,2019567.0
2025-10-01,2053435.0
2025-11-01,1883656.0
2025-12-01,2187348.0
2026-01-01,2041349.0
