date,quantity
2021-02-01,1835423.0
2021-03-01,2069233.0
2021-04-01,1912018.0
2021-05-01,1846810.0
2021-06-01,1991647.0
2021-07-01,1906691.0
2021-08-01,1870762.0
2021-09-01,1937472.0
2021-10-01,1869483.0
2021-11-01,1857994.0
2021-12-01,1931179.0
2022-01-01,1858413.0
2022-02-01,1735962.0
2022-03-01,1938001.0
2022-04-01,1860613.0
2022-05-01,1932423.0
2022-06-01,1881983.0
2022-07-01,1853929.0
2022-08-01,1912964.0
2022-09-01,1927812.0
2022-10-01,1822452.0
2022-11-01,1956891.0
2022-12-01,1913366.0
2023-01-01,1936679.0
2023-02-01,1703361.0
2023-03-01,1995112.0
2023-04-01,1801099.0
2023-05-01,1948029.0
2023-06-01,1959877.0
2023-07-01,1902002.0
2023-08-01,1939075.0
2023-09-01,1862497.0
2023-10-01,1919043.0
2023-11-01,2055307.0
2023-12-01,1889248.0
2024-01-01,1992386.0
2024-02-01,1839200.0
2024-03-01,1886809.0
2024-04-01,1993123.0
2024-05-01,1982211.0
2024-06-01,1876091.0
2024-07-01,1917588.0
2024-08-01,2056129.0
2024-09-01,1941857.0
2024-10-01,2055158.0
2024-11-01,1917534.0
2024-12-01,2025534.0
2025-01-01,2011567.0
2025-02-01,1885707.0
2025-03-01,1952430.0
2025-04-01,1938496.0
2025-05-01,2154049.0
2025-06-01,1990950.0
2025-07-01,2129397.0
2025-08-01,1942216.0
2025-09-01,2066593.0
2025-10-01,2136292.0
2025-11-01,2016145.0
2025-12-01,2184802.0
2026-01-01,2071796.0
