date,quantity
2021-02-01,4437482.0
2021-03-01,4940985.0
2021-04-01,4767736.0
2021-05-01,4501638.0
2021-06-01,4766301.0
2021-07-01,4796706.0
2021-08-01,4538875.0
2021-09-01,4791864.0
2021-10-01,4466134.0
2021-11-01,4740367.0
2021-12-01,4963871.0
2022-01-01,4623411.0
2022-02-01,4343085.0
2022-03-01,4830599.0
2022-04-01,4449312.0
2022-05-01,4676068.0
2022-06-01,4583418.0
2022-07-01,4467362.0
2022-08-01,5029432.0
2022-09-01,4792637.0
2022-10-01,4849556.0
2022-11-01,4892704.0
2022-12-01,4968572.0
2023-01-01,4893745.0
2023-02-01,4324707.0
2023-03-01,5114696.0
2023-04-01,4634990.0
2023-05-01,4700313.0
2023-06-01,4795076.0
2023-07-01,4820664.0
2023-08-01,4910423.0
2023-09-01,4512884.0
2023-10-01,4788045.0
2023-11-01,4860271.0
2023-12-01,4798408.0
2024-01-01,5288643.0
2024-02-01,4684856.0
2024-03-01,4799008.0
2024-04-01,4989780.0
2024-05-01,5079361.0
2024-06-01,4819996.0
2024-07-01,5195052.0
2024-08-01,4851831.0
2024-09-01,4989415.0
2024-10-01,5205385.0
2024-11-01,4963470.0
2024-12-01,5175612.0
2025-01-01,5300844.0
2025-02-01,4771509.0
2025-03-01,5102679.0
2025-04-01,5040993.0
2025-05-01,5272492.0
2025-06-01,5119625.0
2025-07-01,5297095.0
2025-08-01,4836150.0
2025-09-01,5265066.0
2025-10-01,5432451.0
2025-11-01,5028792.0
2025-12-01,5504716.0
2026-01-01,5478307.0
