date,quantity
2021-02-01,5920593.0
2021-03-01,6742629.0
2021-04-01,6375918.0
2021-05-01,6255786.0
2021-06-01,6424450.0
2021-07-01,6477640.0
2021-08-01,6113185.0
2021-09-01,6391866.0
2021-10-01,6105652.0
2021-11-01,6250632.0
2021-12-01,6690464.0
2022-01-01,6403471.0
2022-02-01,6082128.0
2022-03-01,6645279.0
2022-04-01,6284576.0
2022-05-01,6326493.0
2022-06-01,6396468.0
2022-07-01,6374160.0
2022-08-01,6531817.0
2022-09-01,6408957.0
2022-10-01,6439037.0
2022-11-01,6593109.0
2022-12-01,6459320.0
2023-01-01,6606699.0
2023-02-01,5943389.0
2023-03-01,6812928.0
2023-04-01,6359019.0
2023-05-01,6547377.0
2023-06-01,6664482.0
2023-07-01,6570779.0
2023-08-01,6549813.0
2023-09-01,6489349.0
2023-10-01,6696030.0
2023-11-01,6751305.0
2023-12-01,6725959.0
2024-01-01,6898171.0
2024-02-01,6391201.0
2024-03-01,6549297.0
2024-04-01,6854456.0
2024-05-01,6846621.0
2024-06-01,6473764.0
2024-07-01,7046561.0
2024-08-01,6650703.0
2024-09-01,6595889.0
2024-10-01,7076457.0
2024-11-01,6625283.0
2024-12-01,7031384.0
2025-01-01,7087068.0
2025-02-01,6393479.0
2025-03-01,6769190.0
2025-04-01,6774797.0
2025-05-01,7106012.0
2025-06-01,6759121.0
2025-07-01,7266964.0
2025-08-01,6664666.0
2025-09-01,6922565.0
2025-10-01,7325800.0
2025-11-01,6792690.0
2025-12-01,7486535.0
2026-01-01,7226402.0
