date,quantity
2021-02-01,2751343.0
2021-03-01,3006040.0
2021-04-01,2937654.0
2021-05-01,2774204.0
2021-06-01,3051870.0
2021-07-01,2943509.0
2021-08-01,2887524.0
2021-09-01,3025603.0
2021-10-01,2746047.0
2021-11-01,3042794.0
2021-12-01,3114417.0
2022-01-01,2876337.0
2022-02-01,2764783.0
2022-03-01,3076923.0
2022-04-01,2865253.0
2022-05-01,2952171.0
2022-06-01,2819327.0
2022-07-01,2988782.0
2022-08-01,3029198.0
2022-09-01,2955137.0
2022-10-01,2683450.0
2022-11-01,3089767.0
2022-12-01,3124235.0
2023-01-01,2937615.0
2023-02-01,2775599.0
2023-03-01,3265567.0
2023-04-01,2881030.0
2023-05-01,2978404.0
2023-06-01,3016203.0
2023-07-01,3028938.0
2023-08-01,3118841.0
2023-09-01,2998111.0
2023-10-01,3145427.0
2023-11-01,3193478.0
2023-12-01,3134278.0
2024-01-01,3220240.0
2024-02-01,3066419.0
2024-03-01,3110216.0
2024-04-01,3178439.0
2024-05-01,3268987.0
2024-06-01,3008521.0
2024-07-01,3187314.0
2024-08-01,3158589.0
2024-09-01,3065017.0
2024-10-01,3287266.0
2024-11-01,3108131.0
2024-12-01,3281071.0
2025-01-01,3305001.0
2025-02-01,2932538.0
2025-03-01,3042401.0
2025-04-01,3099809.0
2025-05-01,3224288.0
2025-06-01,3071208.0
2025-07-01,3405491.0
2025-08-01,3105646.0
2025-09-01,3203275.0
2025-10-01,3314567.0
2025-11-01,3047435.0
2025-12-01,3373329.0
2026-01-01,3270980.0
