date,quantity
2021-02-01,2828412.0
2021-03-01,3169447.0
2021-04-01,3059055.0
2021-05-01,2903276.0
2021-06-01,3066064.0
2021-07-01,3041832.0
2021-08-01,2912741.0
2021-09-01,3124143.0
2021-10-01,2864964.0
2021-11-01,3025283.0
2021-12-01,3179919.0
2022-01-01,2954154.0
2022-02-01,2796376.0
2022-03-01,3162424.0
2022-04-01,2803656.0
2022-05-01,3162658.0
2022-06-01,2842165.0
2022-07-01,2862715.0
2022-08-01,2937275.0
2022-09-01,3006641.0
2022-10-01,2991911.0
2022-11-01,3005123.0
2022-12-01,2924629.0
2023-01-01,3025160.0
2023-02-01,2597065.0
2023-03-01,3202878.0
2023-04-01,2836000.0
2023-05-01,2804199.0
2023-06-01,2992085.0
2023-07-01,2988830.0
2023-08-01,3041722.0
2023-09-01,2895407.0
2023-10-01,2879817.0
2023-11-01,2977557.0
2023-12-01,3114623.0
2024-01-01,3077088.0
2024-02-01,2991647.0
2024-03-01,2987571.0
2024-04-01,2985064.0
2024-05-01,3095436.0
2024-06-01,2813613.0
2024-07-01,3105312.0
2024-08-01,3018475.0
2024-09-01,2985451.0
2024-10-01,3058857.0
2024-11-01,2895624.0
2024-12-01,3094428.0
2025-01-01,3123757.0
2025-02-01,2749631.0
2025-03-01,2917721.0
2025-04-01,2999257.0
2025-05-01,3101019.0
2025-06-01,2975411.0
2025-07-01,3222327.0
2025-08-01,2897987.0
2025-09-01,3003975.0
2025-10-01,3129888.0
2025-11-01,2905818.0
2025-12-01,3284696.0
2026-01-01,3128035.0
