date,quantity
2021-02-01,5256179.0
2021-03-01,6205713.0
2021-04-01,5817639.0
2021-05-01,5553147.0
2021-06-01,5959742.0
2021-07-01,5732450.0
2021-08-01,5670370.0
2021-09-01,5859863.0
2021-10-01,5632536.0
2021-11-01,5834065.0
2021-12-01,5964031.0
2022-01-01,5886415.0
2022-02-01,5539303.0
2022-03-01,6222159.0
2022-04-01,5630798.0
2022-05-01,6027773.0
2022-06-01,5819359.0
2022-07-01,5675323.0
2022-08-01,5809774.0
2022-09-01,5914817.0
2022-10-01,5918855.0
2022-11-01,6182136.0
2022-12-01,5993664.0
2023-01-01,5989883.0
2023-02-01,5569029.0
2023-03-01,6453824.0
2023-04-01,5542021.0
2023-05-01,6053689.0
2023-06-01,6164221.0
2023-07-01,6061874.0
2023-08-01,6174742.0
2023-09-01,5890675.0
2023-10-01,6489632.0
2023-11-01,6219212.0
2023-12-01,6113704.0
2024-01-01,6496401.0
2024-02-01,5962866.0
2024-03-01,5968761.0
2024-04-01,6391648.0
2024-05-01,6374653.0
2024-06-01,5957198.0
2024-07-01,6450078.0
2024-08-01,6244572.0
2024-09-01,6222512.0
2024-10-01,6642074.0
2024-11-01,6185646.0
2024-12-01,6498182.0
2025-01-01,6524327.0
2025-02-01,5748094.0
2025-03-01,6479714.0
2025-04-01,6391190.0
2025-05-01,6312703.0
2025-06-01,6253276.0
2025-07-01,6673496.0
2025-08-01,6065879.0
2025-09-01,6737132.0
2025-10-01,6657510.0
2025-11-01,6324478.0
2025-12-01,6834147.0
2026-01-01,6726687.0
