date,quantity
2021-02-01,2451761.0
2021-03-01,2757569.0
2021-04-01,2831756.0
2021-05-01,2584582.0
2021-06-01,2748969.0
2021-07-01,2709147.0
2021-08-01,2555353.0
2021-09-01,2800589.0
2021-10-01,2572625.0
2021-11-01,2748338.0
2021-12-01,2851909.0
2022-01-01,2598114.0
2022-02-01,2505126.0
2022-03-01,2798921.0
2022-04-01,2636129.0
2022-05-01,2677463.0
2022-06-01,2679059.0
2022-07-01,2560351.0
2022-08-01,2802226.0
2022-09-01,2648675.0
2022-10-01,2654221.0
2022-11-01,2724196.0
2022-12-01,2795149.0
2023-01-01,2854519.0
2023-02-01,2535722.0
2023-03-01,2973470.0
2023-04-01,2660455.0
2023-05-01,2721344.0
2023-06-01,2909907.0
2023-07-01,2703416.0
2023-08-01,2818241.0
2023-09-01,2726385.0
2023-10-01,2784985.0
2023-11-01,2821598.0
2023-12-01,2979679.0
2024-01-01,2960757.0
2024-02-01,2688189.0
2024-03-01,2786995.0
2024-04-01,2885737.0
2024-05-01,2936111.0
2024-06-01,2695230.0
2024-07-01,2989906.0
2024-08-01,2860256.0
2024-09-01,2779451.0
2024-10-01,2949645.0
2024-11-01,2818002.0
2024-12-01,2955761.0
2025-01-01,3038214.0
2025-02-01,2686232.0
2025-03-01,2867739.0
2025-04-01,2885044.0
2025-05-01,2965364.0
2025-06-01,2808412.0
2025-07-01,3062475.0
2025-08-01,2703262.0
2025-09-01,3025504.0
2025-10-01,3155893.0
2025-11-01,2773303.0
2025-12-01,3144299.0
2026-01-01,3068098.0
