date,quantity
2021-02-01,10378375.0
2021-03-01,11438136.0
2021-04-01,10905764.0
2021-05-01,10494112.0
2021-06-01,11099346.0
2021-07-01,11049123.0
2021-08-01,10512477.0
2021-09-01,11161270.0
2021-10-01,10458197.0
2021-11-01,11017655.0
2021-12-01,11657792.0
2022-01-01,10918694.0
2022-02-01,10091875.0
2022-03-01,11389602.0
2022-04-01,10809180.0
2022-05-01,10847494.0
2022-06-01,10834936.0
2022-07-01,10867074.0
2022-08-01,11004428.0
2022-09-01,11064450.0
2022-10-01,10814460.0
2022-11-01,11158556.0
2022-12-01,11149047.0
2023-01-01,11134305.0
2023-02-01,10106087.0
2023-03-01,11574581.0
2023-04-01,10581236.0
2023-05-01,10901188.0
2023-06-01,11134782.0
2023-07-01,10773582.0
2023-08-01,11021192.0
2023-09-01,10692232.0
2023-10-01,11326731.0
2023-11-01,11423826.0
2023-12-01,11293763.0
2024-01-01,11883620.0
2024-02-01,10791601.0
2024-03-01,11046966.0
2024-04-01,11148152.0
2024-05-01,11628305.0
2024-06-01,10835154.0
2024-07-01,11510914.0
2024-08-01,11075769.0
2024-09-01,10724060.0
2024-10-01,11295493.0
2024-11-01,10781998.0
2024-12-01,11100408.0
2025-01-01,11469366.0
2025-02-01,10020885.0
2025-03-01,10711611.0
2025-04-01,10532578.0
2025-05-01,11006149.0
2025-06-01,10683351.0
2025-07-01,11153192.0
2025-08-01,10405685.0
2025-09-01,10886241.0
2025-10-01,11361285.0
2025-11-01,10452223.0
2025-12-01,11567813.0
2026-01-01,11101465.0
