date,quantity
2021-02-01,3952113.0
2021-03-01,4413446.0
2021-04-01,4002584.0
2021-05-01,4227170.0
2021-06-01,4311429.0
2021-07-01,4328032.0
2021-08-01,3955653.0
2021-09-01,4451416.0
2021-10-01,4101367.0
2021-11-01,4252006.0
2021-12-01,4473164.0
2022-01-01,4272453.0
2022-02-01,3931434.0
2022-03-01,4458442.0
2022-04-01,4138117.0
2022-05-01,4182104.0
2022-06-01,4174042.0
2022-07-01,4295912.0
2022-08-01,4215835.0
2022-09-01,4102157.0
2022-10-01,4004319.0
2022-11-01,4466096.0
2022-12-01,4248577.0
2023-01-01,4319791.0
2023-02-01,3898751.0
2023-03-01,4401682.0
2023-04-01,3936494.0
2023-05-01,4079371.0
2023-06-01,3973594.0
2023-07-01,3859555.0
2023-08-01,4016020.0
2023-09-01,3811862.0
2023-10-01,4107357.0
2023-11-01,4081805.0
2023-12-01,4063786.0
2024-01-01,4289926.0
2024-02-01,3886359.0
2024-03-01,4051708.0
2024-04-01,4266714.0
2024-05-01,4331877.0
2024-06-01,3938792.0
2024-07-01,4376434.0
2024-08-01,4156520.0
2024-09-01,4183487.0
2024-10-01,4409077.0
2024-11-01,4159653.0
2024-12-01,4282798.0
2025-01-01,4445125.0
2025-02-01,3899466.0
2025-03-01,4281821.0
2025-04-01,4316817.0
2025-05-01,4390771.0
2025-06-01,4230302.0
2025-07-01,4584809.0
2025-08-01,4149708.0
2025-09-01,4429730.0
2025-10-01,4510839.0
2025-11-01,4230078.0
2025-12-01,4555149.0
2026-01-01,4423049.0
