date,quantity
2021-02-01,5493580.0
2021-03-01,6273936.0
2021-04-01,5902956.0
2021-05-01,5757457.0
2021-06-01,6002643.0
2021-07-01,6014871.0
2021-08-01,5747193.0
2021-09-01,5957627.0
2021-10-01,5658671.0
2021-11-01,6093235.0
2021-12-01,6268722.0
2022-01-01,5854654.0
2022-02-01,5498033.0
2022-03-01,6173230.0
2022-04-01,5983634.0
2022-05-01,6021350.0
2022-06-01,5917187.0
2022-07-01,5772138.0
2022-08-01,6002417.0
2022-09-01,6066347.0
2022-10-01,6035792.0
2022-11-01,6093527.0
2022-12-01,6058931.0
2023-01-01,6129730.0
2023-02-01,5517069.0
2023-03-01,6363812.0
2023-04-01,5635148.0
2023-05-01,6092236.0
2023-06-01,6087202.0
2023-07-01,6021558.0
2023-08-01,6197593.0
2023-09-01,5987623.0
2023-10-01,6134518.0
2023-11-01,6272179.0
2023-12-01,6125417.0
2024-01-01,6407251.0
2024-02-01,5996021.0
2024-03-01,6039778.0
2024-04-01,6324607.0
2024-05-01,6353482.0
2024-06-01,6018347.0
2024-07-01,6629468.0
2024-08-01,6225239.0
2024-09-01,6054305.0
2024-10-01,6508456.0
2024-11-01,6327713.0
2024-12-01,6392286.0
2025-01-01,6530894.0
2025-02-01,5800177.0
2025-03-01,6111952.0
2025-04-01,6181268.0
2025-05-01,6375417.0
2025-06-01,6336198.0
2025-07-01,6583871.0
2025-08-01,6186007.0
2025-09-01,6542283.0
2025-10-01,6704652.0
2025-11-01,6162780.0
2025-12-01,6891684.0
2026-01-01,6667798.0
