date,quantity
2021-02-01,17898323.0
2021-03-01,19699155.0
2021-04-01,18963188.0
2021-05-01,18332885.0
2021-06-01,19273612.0
2021-07-01,19048936.0
2021-08-01,18133630.0
2021-09-01,19156720.0
2021-10-01,18181350.0
2021-11-01,18546855.0
2021-12-01,20089970.0
2022-01-01,18413852.0
2022-02-01,17908847.0
2022-03-01,19853517.0
2022-04-01,18457868.0
2022-05-01,19012436.0
2022-06-01,18962548.0
2022-07-01,18769586.0
2022-08-01,18906234.0
2022-09-01,19191770.0
2022-10-01,18747409.0
2022-11-01,19368006.0
2022-12-01,19436855.0
2023-01-01,19335462.0
2023-02-01,17516633.0
2023-03-01,20379188.0
2023-04-01,18095363.0
2023-05-01,19161304.0
2023-06-01,19332750.0
2023-07-01,19060943.0
2023-08-01,19174820.0
2023-09-01,18981570.0
2023-10-01,19908831.0
2023-11-01,19734309.0
2023-12-01,19737706.0
2024-01-01,20380396.0
2024-02-01,18670427.0
2024-03-01,19368470.0
2024-04-01,19732696.0
2024-05-01,20219668.0
2024-06-01,19002125.0
2024-07-01,20299191.0
2024-08-01,19700897.0
2024-09-01,19154425.0
2024-10-01,20557570.0
2024-11-01,19853054.0
2024-12-01,20266339.0
2025-01-01,20770843.0
2025-02-01,18465162.0
2025-03-01,19659400.0
2025-04-01,19301043.0
2025-05-01,20228859.0
2025-06-01,19698510.0
2025-07-01,20848470.0
2025-08-01,19254681.0
2025-09-01,20380360.0
2025-10-01,20818509.0
2025-11-01,19369390.0
2025-12-01,21563460.0
2026-01-01,20444002.0
