date,quantity
2021-02-01,3956973.0
2021-03-01,4561560.0
2021-04-01,4249091.0
2021-05-01,4096399.0
2021-06-01,4408418.0
2021-07-01,4220063.0
2021-08-01,4279819.0
2021-09-01,4316005.0
2021-10-01,4174656.0
2021-11-01,4240547.0
2021-12-01,4537957.0
2022-01-01,4256335.0
2022-02-01,3787658.0
2022-03-01,4605786.0
2022-04-01,4200021.0
2022-05-01,4408284.0
2022-06-01,4182083.0
2022-07-01,4279351.0
2022-08-01,4277334.0
2022-09-01,4395609.0
2022-10-01,4291503.0
2022-11-01,4317399.0
2022-12-01,4325247.0
2023-01-01,4325630.0
2023-02-01,3989292.0
2023-03-01,4480280.0
2023-04-01,4021237.0
2023-05-01,4297133.0
2023-06-01,4259962.0
2023-07-01,4466355.0
2023-08-01,4401247.0
2023-09-01,4099474.0
2023-10-01,4416030.0
2023-11-01,4394821.0
2023-12-01,4287126.0
2024-01-01,4520871.0
2024-02-01,4194718.0
2024-03-01,4201241.0
2024-04-01,4416571.0
2024-05-01,4486571.0
2024-06-01,4117069.0
2024-07-01,4464449.0
2024-08-01,4361854.0
2024-09-01,4235823.0
2024-10-01,4521879.0
2024-11-01,4315129.0
2024-12-01,4449541.0
2025-01-01,4652967.0
2025-02-01,4015744.0
2025-03-01,4251320.0
2025-04-01,4385112.0
2025-05-01,4385554.0
2025-06-01,4254255.0
2025-07-01,4631661.0
2025-08-01,4206540.0
2025-09-01,4561397.0
2025-10-01,4613997.0
2025-11-01,4279860.0
2025-12-01,4793735.0
2026-01-01,4566276.0
