date,quantity
2021-02-01,4860680.0
2021-03-01,5564811.0
2021-04-01,5287438.0
2021-05-01,4981749.0
2021-06-01,5437766.0
2021-07-01,5335277.0
2021-08-01,5107080.0
2021-09-01,5505041.0
2021-10-01,5077994.0
2021-11-01,5345190.0
2021-12-01,5563043.0
2022-01-01,5125794.0
2022-02-01,4873954.0
2022-03-01,5529267.0
2022-04-01,5096517.0
2022-05-01,5153558.0
2022-06-01,5545830.0
2022-07-01,5177223.0
2022-08-01,5221974.0
2022-09-01,5415930.0
2022-10-01,5187970.0
2022-11-01,5307575.0
2022-12-01,5391498.0
2023-01-01,5430833.0
2023-02-01,4910672.0
2023-03-01,5795312.0
2023-04-01,5010811.0
2023-05-01,5448405.0
2023-06-01,5474090.0
2023-07-01,5352035.0
2023-08-01,5184908.0
2023-09-01,5164044.0
2023-10-01,5655748.0
2023-11-01,5678865.0
2023-12-01,5611534.0
2024-01-01,5703836.0
2024-02-01,5472827.0
2024-03-01,5336003.0
2024-04-01,5760563.0
2024-05-01,5673134.0
2024-06-01,5428905.0
2024-07-01,5874072.0
2024-08-01,5633563.0
2024-09-01,5463445.0
2024-10-01,5893853.0
2024-11-01,5574777.0
2024-12-01,5859009.0
2025-01-01,5968795.0
2025-02-01,5381374.0
2025-03-01,5632440.0
2025-04-01,5603206.0
2025-05-01,5949969.0
2025-06-01,5696225.0
2025-07-01,6167734.0
2025-08-01,5490892.0
2025-09-01,5960127.0
2025-10-01,6060581.0
2025-11-01,5463318.0
2025-12-01,6269394.0
2026-01-01,5986509.0
