date,quantity
2021-02-01,5880453.0
2021-03-01,6481121.0
2021-04-01,6295566.0
2021-05-01,6131616.0
2021-06-01,6292115.0
2021-07-01,6397888.0
2021-08-01,5909511.0
2021-09-01,6198337.0
2021-10-01,6012766.0
2021-11-01,6382298.0
2021-12-01,6784512.0
2022-01-01,6176922.0
2022-02-01,5981317.0
2022-03-01,6621048.0
2022-04-01,6164256.0
2022-05-01,6320119.0
2022-06-01,6260766.0
2022-07-01,6054665.0
2022-08-01,6332357.0
2022-09-01,6397411.0
2022-10-01,6249539.0
2022-11-01,6372504.0
2022-12-01,6512773.0
2023-01-01,6410543.0
2023-02-01,5843087.0
2023-03-01,6709926.0
2023-04-01,6066051.0
2023-05-01,6324438.0
2023-06-01,6556172.0
2023-07-01,6415701.0
2023-08-01,6496829.0
2023-09-01,6400242.0
2023-10-01,6657415.0
2023-11-01,6698149.0
2023-12-01,6742720.0
2024-01-01,6832836.0
2024-02-01,6324916.0
2024-03-01,6502101.0
2024-04-01,6820394.0
2024-05-01,6838439.0
2024-06-01,6394605.0
2024-07-01,7031673.0
2024-08-01,6687495.0
2024-09-01,6644109.0
2024-10-01,6901936.0
2024-11-01,6751607.0
2024-12-01,6827252.0
2025-01-01,7101729.0
2025-02-01,6357284.0
2025-03-01,6812072.0
2025-04-01,6648655.0
2025-05-01,6985795.0
2025-06-01,6816452.0
2025-07-01,7284442.0
2025-08-01,6618059.0
2025-09-01,7077665.0
2025-10-01,7217864.0
2025-11-01,6593573.0
2025-12-01,7475959.0
2026-01-01,7158214.0
