date,quantity
2021-02-01,2909388.0
2021-03-01,3336568.0
2021-04-01,3148033.0
2021-05-01,2929584.0
2021-06-01,3187205.0
2021-07-01,3121467.0
2021-08-01,2916641.0
2021-09-01,3261903.0
2021-10-01,2842458.0
2021-11-01,3062943.0
2021-12-01,3264413.0
2022-01-01,3026024.0
2022-02-01,2862102.0
2022-03-01,3234854.0
2022-04-01,3004120.0
2022-05-01,3029815.0
2022-06-01,3041070.0
2022-07-01,2984691.0
2022-08-01,3096213.0
2022-09-01,3143823.0
2022-10-01,3008837.0
2022-11-01,3121259.0
2022-12-01,3163494.0
2023-01-01,3002096.0
2023-02-01,2892080.0
2023-03-01,3315431.0
2023-04-01,2938330.0
2023-05-01,3124427.0
2023-06-01,3088508.0
2023-07-01,3102912.0
2023-08-01,3014519.0
2023-09-01,2930811.0
2023-10-01,3227453.0
2023-11-01,3190023.0
2023-12-01,3234000.0
2024-01-01,3280269.0
2024-02-01,2960915.0
2024-03-01,3069564.0
2024-04-01,3199394.0
2024-05-01,3247216.0
2024-06-01,3003872.0
2024-07-01,3260284.0
2024-08-01,3142888.0
2024-09-01,3132331.0
2024-10-01,3363392.0
2024-11-01,3172288.0
2024-12-01,3262723.0
2025-01-01,3253943.0
2025-02-01,2885020.0
2025-03-01,3114866.0
2025-04-01,3068510.0
2025-05-01,3190857.0
2025-06-01,3173179.0
2025-07-01,3314575.0
2025-08-01,3003943.0
2025-09-01,3228338.0
2025-10-01,3258337.0
2025-11-01,3001008.0
2025-12-01,3427898.0
2026-01-01,3186377.0
