date,quantity
2021-02-01,2363912.0
2021-03-01,2591345.0
2021-04-01,2573149.0
2021-05-01,2442225.0
2021-06-01,2569386.0
2021-07-01,2544443.0
2021-08-01,2434467.0
2021-09-01,2659900.0
2021-10-01,2341641.0
2021-11-01,2543865.0
2021-12-01,2758119.0
2022-01-01,2532501.0
2022-02-01,2382043.0
2022-03-01,2677627.0
2022-04-01,2431397.0
2022-05-01,2621350.0
2022-06-01,2494696.0
2022-07-01,2561861.0
2022-08-01,2621063.0
2022-09-01,2563133.0
2022-10-01,2463278.0
2022-11-01,2657056.0
2022-12-01,2658205.0
2023-01-01,2597366.0
2023-02-01,2336472.0
2023-03-01,2764943.0
2023-04-01,2435753.0
2023-05-01,2567400.0
2023-06-01,2608623.0
2023-07-01,2555512.0
2023-08-01,2552533.0
2023-09-01,2514839.0
2023-10-01,2596847.0
2023-11-01,2649526.0
2023-12-01,2578873.0
2024-01-01,2766572.0
2024-02-01,2482676.0
2024-03-01,2583381.0
2024-04-01,2611749.0
2024-05-01,2733375.0
2024-06-01,2540278.0
2024-07-01,2802830.0
2024-08-01,2666239.0
2024-09-01,2608891.0
2024-10-01,2705004.0
2024-11-01,2598895.0
2024-12-01,2745117.0
2025-01-01,2715829.0
2025-02-01,2470482.0
2025-03-01,2627927.0
2025-04-01,2638203.0
2025-05-01,2802544.0
2025-06-01,2633677.0
2025-07-01,2876023.0
2025-08-01,2634370.0
2025-09-01,2798788.0
2025-10-01,2876647.0
2025-11-01,2688715.0
2025-12-01,2985713.0
2026-01-01,2824315.0
