date,quantity
2021-02-01,2478895.0
2021-03-01,2852097.0
2021-04-01,2614075.0
2021-05-01,2536857.0
2021-06-01,2715508.0
2021-07-01,2691936.0
2021-08-01,2550133.0
2021-09-01,2819168.0
2021-10-01,2589481.0
2021-11-01,2650510.0
2021-12-01,2891717.0
2022-01-01,2668193.0
2022-02-01,2539536.0
2022-03-01,2812027.0
2022-04-01,2722442.0
2022-05-01,2775701.0
2022-06-01,2660063.0
2022-07-01,2682699.0
2022-08-01,2670906.0
2022-09-01,2775541.0
2022-10-01,2788614.0
2022-11-01,2719149.0
2022-12-01,2726880.0
2023-01-01,2728772.0
2023-02-01,2497551.0
2023-03-01,2868964.0
2023-04-01,2632975.0
2023-05-01,2688439.0
2023-06-01,2853120.0
2023-07-01,2722283.0
2023-08-01,2789734.0
2023-09-01,2701203.0
2023-10-01,2883773.0
2023-11-01,2864964.0
2023-12-01,2778448.0
2024-01-01,2834133.0
2024-02-01,2717390.0
2024-03-01,2818595.0
2024-04-01,2867516.0
2024-05-01,2935532.0
2024-06-01,2725849.0
2024-07-01,3052356.0
2024-08-01,2908981.0
2024-09-01,2791932.0
2024-10-01,3046968.0
2024-11-01,2821298.0
2024-12-01,2898017.0
2025-01-01,2945780.0
2025-02-01,2618344.0
2025-03-01,2782375.0
2025-04-01,2856965.0
2025-05-01,2896422.0
2025-06-01,2814789.0
2025-07-01,3092704.0
2025-08-01,2879767.0
2025-09-01,2978497.0
2025-10-01,3052859.0
2025-11-01,2758060.0
2025-12-01,3128198.0
2026-01-01,2910926.0
