date,quantity
2021-02-01,4262931.0
2021-03-01,4767970.0
2021-04-01,4558066.0
2021-05-01,4339724.0
2021-06-01,4642200.0
2021-07-01,4555115.0
2021-08-01,4449915.0
2021-09-01,4656985.0
2021-10-01,4417184.0
2021-11-01,4533235.0
2021-12-01,4937010.0
2022-01-01,4745496.0
2022-02-01,4295959.0
2022-03-01,4929903.0
2022-04-01,4353181.0
2022-05-01,4788276.0
2022-06-01,4708471.0
2022-07-01,4685419.0
2022-08-01,4727843.0
2022-09-01,4710922.0
2022-10-01,4569530.0
2022-11-01,4696370.0
2022-12-01,4754759.0
2023-01-01,4818728.0
2023-02-01,4346421.0
2023-03-01,5023495.0
2023-04-01,4473967.0
2023-05-01,4724444.0
2023-06-01,4796754.0
2023-07-01,4703315.0
2023-08-01,4700693.0
2023-09-01,4605168.0
2023-10-01,4829576.0
2023-11-01,4879756.0
2023-12-01,4839606.0
2024-01-01,5009807.0
2024-02-01,4653832.0
2024-03-01,4712060.0
2024-04-01,4834490.0
2024-05-01,4985154.0
2024-06-01,4486778.0
2024-07-01,5037164.0
2024-08-01,4952223.0
2024-09-01,4747211.0
2024-10-01,5019700.0
2024-11-01,4819344.0
2024-12-01,4946314.0
2025-01-01,5140198.0
2025-02-01,4561419.0
2025-03-01,4885975.0
2025-04-01,4768663.0
2025-05-01,5068014.0
2025-06-01,4766128.0
2025-07-01,5173868.0
2025-08-01,4683906.0
2025-09-01,5069824.0
2025-10-01,5239880.0
2025-11-01,4694177.0
2025-12-01,5321759.0
2026-01-01,4993380.0
