date,quantity,forecast
2021-02-01,3867544.0,
2021-03-01,4324440.0,
2021-04-01,4033672.0,4075218.6666666665
2021-05-01,3907687.0,4088599.6666666665
2021-06-01,4180208.0,4040522.3333333335
2021-07-01,4135442.0,4074445.6666666665
2021-08-01,3889507.0,4068385.6666666665
2021-09-01,4167931.0,4064293.3333333335
2021-10-01,3862865.0,3973434.3333333335
2021-11-01,3944806.0,3991867.3333333335
2021-12-01,4156470.0,3988047.0
2022-01-01,3807594.0,3969623.3333333335
2022-02-01,3778001.0,3914021.6666666665
2022-03-01,4153416.0,3913003.6666666665
2022-04-01,3860163.0,3930526.6666666665
2022-05-01,4085281.0,4032953.3333333335
2022-06-01,3888947.0,3944797.0
2022-07-01,3880905.0,3951711.0
2022-08-01,3941914.0,3903922.0
2022-09-01,4046991.0,3956603.3333333335
2022-10-01,3906927.0,3965277.3333333335
2022-11-01,3982736.0,3978884.6666666665
2022-12-01,4058918.0,3982860.3333333335
2023-01-01,3973236.0,4004963.3333333335
2023-02-01,3567931.0,3866695.0
2023-03-01,4245163.0,3928776.6666666665
2023-04-01,3766679.0,3859924.3333333335
2023-05-01,3899595.0,3970479.0
2023-06-01,4032248.0,3899507.3333333335
2023-07-01,3931229.0,3954357.3333333335
2023-08-01,4128141.0,4030539.3333333335
2023-09-01,3865368.0,3974912.6666666665
2023-10-01,4058278.0,4017262.3333333335
2023-11-01,4114093.0,4012579.6666666665
2023-12-01,4055157.0,4075842.6666666665
2024-01-01,4173329.0,4114193.0
2024-02-01,3931611.0,4053365.6666666665
2024-03-01,4013112.0,4039350.6666666665
2024-04-01,4107673.0,4017465.3333333335
2024-05-01,4215774.0,4112186.3333333335
2024-06-01,3908620.0,4077355.6666666665
2024-07-01,4247583.0,4123992.3333333335
2024-08-01,4021424.0,4059209.0
2024-09-01,4007703.0,4092236.6666666665
2024-10-01,4314663.0,4114596.6666666665
2024-11-01,4034871.0,4119079.0
2024-12-01,4237743.0,4195759.0
2025-01-01,4278639.0,4183751.0
2025-02-01,3820415.0,4112265.6666666665
2025-03-01,4057692.0,4052248.6666666665
2025-04-01,4104514.0,3994207.0
2025-05-01,4163368.0,4108524.6666666665
2025-06-01,4081604.0,4116495.3333333335
2025-07-01,4347524.0,4197498.666666667
2025-08-01,4041502.0,4156876.6666666665
2025-09-01,4178073.0,4189033.0
2025-10-01,4392052.0,4203875.666666667
2025-11-01,3968910.0,4179678.3333333335
2025-12-01,4446911.0,4269291.0
2026-01-01,4216086.0,4210635.666666667
2026-02-28,,4210635.666666667
2026-03-31,,4210635.666666667
2026-04-30,,4210635.666666667
